#    x (m)        y (m)        V(x,y) (V)
    0.000000    0.000000    0.000000
    0.204082    0.000000    0.000000
    0.408163    0.000000    0.000000
    0.612245    0.000000    0.000000
    0.816327    0.000000    0.000000
    1.020408    0.000000    0.000000
    1.224490    0.000000    0.000000
    1.428571    0.000000    0.000000
    1.632653    0.000000    0.000000
    1.836735    0.000000    0.000000
    2.040816    0.000000    0.000000
    2.244898    0.000000    0.000000
    2.448980    0.000000    0.000000
    2.653061    0.000000    0.000000
    2.857143    0.000000    0.000000
    3.061224    0.000000    0.000000
    3.265306    0.000000    0.000000
    3.469388    0.000000    0.000000
    3.673469    0.000000    0.000000
    3.877551    0.000000    0.000000
    4.081633    0.000000    0.000000
    4.285714    0.000000    0.000000
    4.489796    0.000000    0.000000
    4.693878    0.000000    0.000000
    4.897959    0.000000    0.000000
    5.102041    0.000000    0.000000
    5.306122    0.000000    0.000000
    5.510204    0.000000    0.000000
    5.714286    0.000000    0.000000
    5.918367    0.000000    0.000000
    6.122449    0.000000    0.000000
    6.326531    0.000000    0.000000
    6.530612    0.000000    0.000000
    6.734694    0.000000    0.000000
    6.938776    0.000000    0.000000
    7.142857    0.000000    0.000000
    7.346939    0.000000    0.000000
    7.551020    0.000000    0.000000
    7.755102    0.000000    0.000000
    7.959184    0.000000    0.000000
    8.163265    0.000000    0.000000
    8.367347    0.000000    0.000000
    8.571429    0.000000    0.000000
    8.775510    0.000000    0.000000
    8.979592    0.000000    0.000000
    9.183673    0.000000    0.000000
    9.387755    0.000000    0.000000
    9.591837    0.000000    0.000000
    9.795918    0.000000    0.000000
   10.000000    0.000000    0.000000

    0.000000    0.204082    0.865933
    0.204082    0.204082    0.866582
    0.408163    0.204082    0.868529
    0.612245    0.204082    0.871770
    0.816327    0.204082    0.876298
    1.020408    0.204082    0.882105
    1.224490    0.204082    0.889179
    1.428571    0.204082    0.897507
    1.632653    0.204082    0.907072
    1.836735    0.204082    0.917857
    2.040816    0.204082    0.929842
    2.244898    0.204082    0.943006
    2.448980    0.204082    0.957324
    2.653061    0.204082    0.972773
    2.857143    0.204082    0.989325
    3.061224    0.204082    1.006954
    3.265306    0.204082    1.025631
    3.469388    0.204082    1.045327
    3.673469    0.204082    1.066013
    3.877551    0.204082    1.087656
    4.081633    0.204082    1.110228
    4.285714    0.204082    1.133696
    4.489796    0.204082    1.158030
    4.693878    0.204082    1.183199
    4.897959    0.204082    1.209172
    5.102041    0.204082    1.235917
    5.306122    0.204082    1.263405
    5.510204    0.204082    1.291607
    5.714286    0.204082    1.320492
    5.918367    0.204082    1.350032
    6.122449    0.204082    1.380198
    6.326531    0.204082    1.410964
    6.530612    0.204082    1.442303
    6.734694    0.204082    1.474189
    6.938776    0.204082    1.506596
    7.142857    0.204082    1.539501
    7.346939    0.204082    1.572880
    7.551020    0.204082    1.606710
    7.755102    0.204082    1.640969
    7.959184    0.204082    1.675634
    8.163265    0.204082    1.710682
    8.367347    0.204082    1.746084
    8.571429    0.204082    1.781803
    8.775510    0.204082    1.817775
    8.979592    0.204082    1.853877
    9.183673    0.204082    1.889865
    9.387755    0.204082    1.925221
    9.591837    0.204082    1.958862
    9.795918    0.204082    1.988537
   10.000000    0.204082    0.000000

    0.000000    0.408163    1.730566
    0.204082    0.408163    1.731867
    0.408163    0.408163    1.735765
    0.612245    0.408163    1.742253
    0.816327    0.408163    1.751318
    1.020408    0.408163    1.762943
    1.224490    0.408163    1.777104
    1.428571    0.408163    1.793775
    1.632653    0.408163    1.812923
    1.836735    0.408163    1.834514
    2.040816    0.408163    1.858506
    2.244898    0.408163    1.884856
    2.448980    0.408163    1.913518
    2.653061    0.408163    1.944442
    2.857143    0.408163    1.977574
    3.061224    0.408163    2.012860
    3.265306    0.408163    2.050244
    3.469388    0.408163    2.089666
    3.673469    0.408163    2.131066
    3.877551    0.408163    2.174385
    4.081633    0.408163    2.219559
    4.285714    0.408163    2.266527
    4.489796    0.408163    2.315226
    4.693878    0.408163    2.365594
    4.897959    0.408163    2.417570
    5.102041    0.408163    2.471091
    5.306122    0.408163    2.526098
    5.510204    0.408163    2.582530
    5.714286    0.408163    2.640329
    5.918367    0.408163    2.699437
    6.122449    0.408163    2.759797
    6.326531    0.408163    2.821356
    6.530612    0.408163    2.884060
    6.734694    0.408163    2.947856
    6.938776    0.408163    3.012695
    7.142857    0.408163    3.078529
    7.346939    0.408163    3.145309
    7.551020    0.408163    3.212991
    7.755102    0.408163    3.281531
    7.959184    0.408163    3.350884
    8.163265    0.408163    3.421007
    8.367347    0.408163    3.491848
    8.571429    0.408163    3.563345
    8.775510    0.408163    3.635399
    8.979592    0.408163    3.707829
    9.183673    0.408163    3.780274
    9.387755    0.408163    3.851975
    9.591837    0.408163    3.921325
    9.795918    0.408163    3.984938
   10.000000    0.408163    0.000000

    0.000000    0.612245    2.592599
    0.204082    0.612245    2.594552
    0.408163    0.612245    2.600409
    0.612245    0.612245    2.610157
    0.816327    0.612245    2.623777
    1.020408    0.612245    2.641242
    1.224490    0.612245    2.662519
    1.428571    0.612245    2.687565
    1.632653    0.612245    2.716333
    1.836735    0.612245    2.748768
    2.040816    0.612245    2.784811
    2.244898    0.612245    2.824395
    2.448980    0.612245    2.867450
    2.653061    0.612245    2.913901
    2.857143    0.612245    2.963668
    3.061224    0.612245    3.016669
    3.265306    0.612245    3.072817
    3.469388    0.612245    3.132025
    3.673469    0.612245    3.194203
    3.877551    0.612245    3.259257
    4.081633    0.612245    3.327096
    4.285714    0.612245    3.397626
    4.489796    0.612245    3.470752
    4.693878    0.612245    3.546382
    4.897959    0.612245    3.624423
    5.102041    0.612245    3.704781
    5.306122    0.612245    3.787366
    5.510204    0.612245    3.872087
    5.714286    0.612245    3.958857
    5.918367    0.612245    4.047589
    6.122449    0.612245    4.138199
    6.326531    0.612245    4.230604
    6.530612    0.612245    4.324724
    6.734694    0.612245    4.420481
    6.938776    0.612245    4.517801
    7.142857    0.612245    4.616609
    7.346939    0.612245    4.716837
    7.551020    0.612245    4.818415
    7.755102    0.612245    4.921279
    7.959184    0.612245    5.025365
    8.163265    0.612245    5.130610
    8.367347    0.612245    5.236952
    8.571429    0.612245    5.344319
    8.775510    0.612245    5.452619
    8.979592    0.612245    5.561706
    9.183673    0.612245    5.671299
    9.387755    0.612245    5.780810
    9.591837    0.612245    5.888963
    9.795918    0.612245    5.992982
   10.000000    0.612245    0.000000

    0.000000    0.816327    3.450723
    0.204082    0.816327    3.453333
    0.408163    0.816327    3.461160
    0.612245    0.816327    3.474188
    0.816327    0.816327    3.492390
    1.020408    0.816327    3.515730
    1.224490    0.816327    3.544163
    1.428571    0.816327    3.577632
    1.632653    0.816327    3.616073
    1.836735    0.816327    3.659414
    2.040816    0.816327    3.707573
    2.244898    0.816327    3.760462
    2.448980    0.816327    3.817986
    2.653061    0.816327    3.880043
    2.857143    0.816327    3.946528
    3.061224    0.816327    4.017329
    3.265306    0.816327    4.092331
    3.469388    0.816327    4.171416
    3.673469    0.816327    4.254461
    3.877551    0.816327    4.341345
    4.081633    0.816327    4.431942
    4.285714    0.816327    4.526128
    4.489796    0.816327    4.623776
    4.693878    0.816327    4.724761
    4.897959    0.816327    4.828958
    5.102041    0.816327    4.936244
    5.306122    0.816327    5.046496
    5.510204    0.816327    5.159596
    5.714286    0.816327    5.275423
    5.918367    0.816327    5.393864
    6.122449    0.816327    5.514805
    6.326531    0.816327    5.638136
    6.530612    0.816327    5.763751
    6.734694    0.816327    5.891544
    6.938776    0.816327    6.021417
    7.142857    0.816327    6.153272
    7.346939    0.816327    6.287014
    7.551020    0.816327    6.422554
    7.755102    0.816327    6.559806
    7.959184    0.816327    6.698686
    8.163265    0.816327    6.839117
    8.367347    0.816327    6.981026
    8.571429    0.816327    7.124350
    8.775510    0.816327    7.269034
    8.979592    0.816327    7.415032
    9.183673    0.816327    7.562302
    9.387755    0.816327    7.710774
    9.591837    0.816327    7.860246
    9.795918    0.816327    8.010114
   10.000000    0.816327    0.000000

    0.000000    1.020408    4.303623
    0.204082    1.020408    4.306897
    0.408163    1.020408    4.316710
    0.612245    1.020408    4.333043
    0.816327    1.020408    4.355863
    1.020408    1.020408    4.385124
    1.224490    1.020408    4.420768
    1.428571    1.020408    4.462725
    1.632653    1.020408    4.510914
    1.836735    1.020408    4.565241
    2.040816    1.020408    4.625604
    2.244898    1.020408    4.691893
    2.448980    1.020408    4.763987
    2.653061    1.020408    4.841758
    2.857143    1.020408    4.925072
    3.061224    1.020408    5.013788
    3.265306    1.020408    5.107762
    3.469388    1.020408    5.206844
    3.673469    1.020408    5.310882
    3.877551    1.020408    5.419719
    4.081633    1.020408    5.533201
    4.285714    1.020408    5.651167
    4.489796    1.020408    5.773462
    4.693878    1.020408    5.899927
    4.897959    1.020408    6.030404
    5.102041    1.020408    6.164740
    5.306122    1.020408    6.302781
    5.510204    1.020408    6.444376
    5.714286    1.020408    6.589377
    5.918367    1.020408    6.737640
    6.122449    1.020408    6.889022
    6.326531    1.020408    7.043386
